""	"AMR.Gene.Family"	"AMR1A"	"AMR1H"	"AMR2A"	"AMR3A"	"AMR3H"	"AMR4A"	"AMR5A"	"AMR5H"	"AMR6A"	"AMR7A"	"AMR7H"	"AMR9H"	"AMR10A"
"1"	"16S rRNA methyltransferase (A1408)"	432	82	82	86	29	299	32	13	34	38	384	30	59
"2"	"16S rRNA methyltransferase (G1405)"	3313	1816	1404	2513	1930	2946	2275	1403	2121	1889	3274	1915	2279
"3"	"AAC(2')"	2699	1130	1329	1434	3806	2387	1107	727	1950	848	1851	1160	941
"4"	"AAC(3)"	7704	2823	1504	2805	1646	4925	1295	1148	3363	1510	4575	2614	2042
"5"	"AAC(3); AAC(6')"	324	86	19	45	4	130	12	0	9	10	217	10	36
"6"	"AAC(6')"	8011	2402	1833	2891	1900	5452	1677	965	1967	1390	5101	1485	2058
"7"	"AAC(6')-Ib-cr"	789	154	89	136	38	481	35	15	66	68	407	52	86
"8"	"AAC(6'); ANT(3'')"	6	5	1	12	0	12	2	0	6	0	3	6	0
"9"	"AAK beta-lactamase"	446	186	88	105	1	293	46	0	21	34	189	23	46
"10"	"ACC beta-lactamase"	2651	2362	921	1486	2526	2210	1279	855	3680	1197	5910	2322	1248
"11"	"ACI beta-lactamase"	193	209	153	236	350	312	277	135	252	251	163	185	362
"12"	"ACT beta-lactamase"	5180	1760	1626	1741	1704	3308	1128	622	1299	1263	3350	1373	1659
"13"	"ADC beta-lactamase with carbapenemase activity"	12	15	8	37	13	16	24	18	22	18	7	24	7
"14"	"ADC beta-lactamase without carbapenemase activity"	2559	1201	1468	1536	3639	2180	1276	928	1648	1095	1630	1140	1335
"15"	"ADC beta-lactamases pending classification for carbapenemase activity"	6352	3126	3368	4907	8729	5811	3487	3013	5511	3282	4686	3586	3794
"16"	"AER beta-lactamase"	743	187	75	114	13	266	13	11	29	24	311	21	54
"17"	"AFM beta-lactamase"	529	230	134	277	133	267	231	116	225	201	261	234	193
"18"	"AIM beta-lactamase"	684	195	135	265	80	471	137	132	177	115	261	103	188
"19"	"ALG11 beta-lactamase"	1941	1520	803	2276	1760	1638	1730	1433	2392	1963	1536	2261	1667
"20"	"ALG6 beta-lactamases"	62	47	20	35	45	61	26	15	31	20	18	40	51
"21"	"ALI beta-lactamase"	938	256	87	262	94	564	101	49	151	112	277	95	143
"22"	"ANA beta-lactamase"	226	50	33	42	14	188	16	6	23	16	44	23	67
"23"	"ANT(2'')"	77	39	35	87	29	67	40	28	50	53	110	37	43
"24"	"ANT(3'')"	5197	2663	4266	5013	10790	6378	4392	3151	6467	3747	4821	4118	4282
"25"	"ANT(4')"	906	438	313	432	755	771	395	322	481	306	758	407	517
"26"	"ANT(6)"	2530	1119	1377	1974	1218	1926	1250	1723	2118	1253	1430	1426	2409
"27"	"ANT(9)"	916	324	259	493	326	654	308	252	332	278	468	410	386
"28"	"APH(2'')"	2756	1331	1040	1861	1526	2259	1574	1053	1652	1514	1786	1430	1911
"29"	"APH(2''); AAC(6')"	2228	1369	1795	1901	3908	2377	2004	1299	3828	1183	1268	2696	1212
"30"	"APH(3'')"	1338	309	249	263	202	731	161	93	219	174	881	196	271
"31"	"APH(3')"	7523	2879	2096	3890	3743	5885	2430	1765	3110	2463	4175	2419	2668
"32"	"APH(4)"	1382	732	704	1306	973	1246	836	577	986	729	1042	809	761
"33"	"APH(6)"	1933	586	521	551	597	1121	374	232	519	424	1372	488	575
"34"	"APH(7'')"	1030	623	593	1245	1438	889	1260	785	1008	979	889	1038	986
"35"	"APH(9)"	1210	627	1097	1129	2237	1551	716	675	1935	502	1179	773	736
"36"	"AQU beta-lactamase"	140	63	60	100	62	160	58	37	60	41	179	73	123
"37"	"ARL Beta-lactamase"	463	282	191	372	382	474	479	243	391	347	416	354	293
"38"	"AST Beta-lactamase"	239	169	57	101	66	171	46	22	92	31	113	55	52
"39"	"ATP-binding cassette (ABC) antibiotic efflux pump"	29425	10187	7422	11155	9913	21249	7357	4686	9928	6481	24314	7044	10321
"40"	"ATP-binding cassette (ABC) antibiotic efflux pump; major facilitator superfamily (MFS) antibiotic efflux pump"	403	115	55	116	88	254	79	40	127	78	160	119	106
"41"	"ATP-binding cassette (ABC) antibiotic efflux pump; major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump"	1020	584	640	800	1659	1270	632	383	1240	536	1226	647	664
"42"	"ATP-binding cassette (ABC) antibiotic efflux pump; major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump; General Bacterial Porin with reduced permeability to beta-lactams"	955	276	103	218	6	667	45	13	50	54	333	86	170
"43"	"ATP-binding cassette (ABC) antibiotic efflux pump; pmr phosphoethanolamine transferase"	170	68	6	39	0	59	0	13	7	3	46	6	4
"44"	"AXC beta-lactamase"	393	108	126	130	68	276	66	57	63	77	564	68	145
"45"	"Acinetobacter mutant Lpx gene conferring resistance to colistin"	109	65	5	26	0	60	4	0	0	1	36	10	14
"46"	"Antibiotic resistant Helicobacter pylori nitroreductase"	141	62	37	77	39	177	50	36	66	42	344	46	64
"47"	"Antibiotic resistant tlyA"	151	65	113	183	440	57	194	79	172	80	61	66	92
"48"	"BAT Beta-lactamase"	244	103	111	124	114	152	94	70	97	105	185	97	105
"49"	"BCL Beta-lactamase"	339	195	351	544	562	380	400	259	422	355	339	275	4557
"50"	"BEL beta-lactamase"	303	102	160	290	379	355	260	173	380	178	259	239	241
"51"	"BES Beta-lactamase"	2020	1368	1422	2232	2647	1881	1896	1406	2424	1667	1369	1757	1705
"52"	"BIC Beta-lactamase"	18	2	25	24	84	37	22	14	31	18	51	14	11
"53"	"BIL Beta-lactamase"	0	0	9	0	0	22	1	0	0	0	3	0	2
"54"	"BJP beta-lactamase"	402	106	43	97	12	347	30	6	47	25	174	46	69
"55"	"BKC Beta-lactamase"	386	144	64	49	45	200	37	15	41	24	151	42	96
"56"	"BPU Beta-lactamase"	236	162	90	181	127	113	140	96	149	137	197	101	128
"57"	"BRO Beta-lactamase"	232	105	111	170	81	186	90	64	93	125	250	130	99
"58"	"BSU beta-lactamase"	432	319	229	636	498	349	432	251	444	430	510	464	304
"59"	"BUT beta-lactamase"	773	380	256	444	293	503	366	198	399	293	281	277	355
"60"	"Bah amidohydrolase"	2355	560	365	602	221	1148	300	128	389	287	1215	345	466
"61"	"BlaA beta-lactamase"	155	90	126	152	116	225	203	107	185	135	323	133	163
"62"	"BlaB beta-lactamase"	920	410	234	545	390	739	219	315	282	261	816	290	303
"63"	"BlaZ beta-lactamase"	2002	764	405	808	634	1200	465	257	559	399	1346	415	457
"64"	"Bleomycin resistant protein"	232	45	23	45	50	148	27	18	46	44	79	26	60
"65"	"CAM beta-lactamase"	125	55	36	42	193	153	35	89	39	35	97	75	62
"66"	"CAR beta-lactamase"	1450	334	101	283	2	883	39	8	44	74	345	67	108
"67"	"CARB beta-lactamase"	2266	1034	1005	1172	2662	2100	1063	662	1395	966	1931	991	865
"68"	"CAU beta-lactamase"	245	52	45	46	4	158	13	3	16	10	208	35	67
"69"	"CBP beta-lactamase"	328	152	161	214	154	269	161	113	153	166	404	151	203
"70"	"CDD beta-lactamase"	195	120	99	126	277	193	132	97	195	118	202	147	157
"71"	"CGA beta-lactamase"	571	334	177	358	453	350	278	146	407	339	315	290	260
"72"	"CGB beta-lactamase"	36	11	17	26	46	56	15	8	19	21	56	6	26
"73"	"CIA beta-lactamase"	199	118	84	181	138	211	147	107	132	104	105	120	161
"74"	"CKO beta-lactamase"	61	12	7	29	48	43	33	12	45	18	28	22	37
