""	"AMR.Gene.Family"	"AMR1A"	"AMR1H"	"AMR2A"	"AMR3A"	"AMR3H"	"AMR4A"	"AMR5A"	"AMR5H"	"AMR6A"	"AMR7A"	"AMR7H"	"AMR9H"	"AMR10A"
"1"	"AAC(2')"	0.811665854700084	0.732643481418087	0.902982083041738	0.691420884382278	1.10401081385264	0.845105328376704	0.676336176348396	0.645384656357083	0.800831221739898	0.552241527520904	0.730454136477719	0.712027744529356	0.565158376475958
"2"	"AAC(3)"	4.99494281490703	1.91807255111123	0.725172252518093	0.813649588243996	0.582758010267304	3.00899337715975	1.14961916091117	0.471463714132002	2.19008049180755	0.595886410632823	2.80821287174293	1.56995111169836	0.614087319487799
"3"	"AAC(3); AAC(6')"	0.220140101509047	0.0414659665668591	0.00551135193462956	0.0159320233669676	0.00244385248906376	0.115405784493014	0.00492819213378399	0	0.00355164085807643	0.00613817021145996	0.130328764819642	0.00300728364097845	0.0233408542752665
"4"	"AAC(6')"	3.86260300194311	0.696750912998959	0.648964418481147	1.76629438647083	1.68669992720558	2.23904195944919	1.0921097189299	0.380814825338195	1.20737808059417	0.834824806909226	1.53401538526311	0.962810238854742	1.39829731143709
"5"	"AAC(6')-Ib-cr"	0.228866140864354	0.0545229244114002	0.0543757178816687	0.120732205315768	0.0156059417569826	0.313240772096173	0.0138119366702972	0.00920725531718995	0.0396391634935316	0.0204495287586535	0.263881324723152	0.0353311274026865	0.0414659665668591
"6"	"AAC(6'); ANT(3'')"	0.00212426978226235	0.0030548156113297	0.000887736803792412	0.00492819213378399	0	0.00473552114410191	0.00122763404229199	0	0.00180437018458707	0	0.00203833427323192	0.00289297441164133	0
"7"	"AAK beta-lactamase"	0.272489552530609	0.165119045505389	0.0361400756477493	0.0683789627236969	0.000394626762008492	0.179848387195777	0.027627295768219	0	0.0136154983272388	0.023101121763295	0.0911286939667019	0.00667163655244631	0.016286068330678
"8"	"ACC beta-lactamase"	2.35339026685368	0.970032484999815	0.599781187319284	0.58641536834462	1.55050179541479	1.32731138364704	0.384631577681144	0.554345289037579	2.50035670849782	0.577148395122445	1.71432052282425	0.822092405735528	0.762481976587893
"9"	"ACI beta-lactamase"	0.0792617568183592	0.136106697230978	0.0603778945872993	0.144860816990455	0.210207685192971	0.0938272495985276	0.179594906506911	0.0917250422954362	0.121504925288936	0.0728078597680011	0.0577093290847938	0.113028177619199	0.321360722972853
"10"	"ACT beta-lactamase"	3.37336216103571	0.694543101134947	0.99806647638339	1.04563308548846	0.512441132422728	2.14476516507171	0.7664136867352	0.299905014006818	0.37680242963599	0.447158789166224	2.0467264595909	1.21886263160698	0.681322562495636
"11"	"ADC beta-lactamase with carbapenemase activity"	0.00473552114410191	0.00920725531718995	0.00480474709012504	0.0111269494716203	0.00842864182162401	0.0108711161239035	0.0115718976465653	0.00522128078017538	0.00778898920162861	0.0109973362007869	0.00621415762654688	0.00985638426756798	0.00455859751491313
"12"	"ADC beta-lactamase without carbapenemase activity"	1.5707577571126	0.721312656905022	0.441469238495636	0.995876449078036	2.47249947343031	1.05111403622968	0.370130793083543	0.328553726323243	1.00686722549427	0.972071800152691	0.669412764838992	0.742400166714423	0.526826727281337
"13"	"ADC beta-lactamases pending classification for carbapenemase activity"	3.81496918955928	0.940076866169863	2.18366658886382	3.33403542624967	4.20879560653619	1.68560347853328	1.23455478845813	1.84083188738728	4.89231752569998	1.34786054858992	3.05165542212613	1.41513156856245	2.32882177822791
"14"	"AER beta-lactamase"	0.223441174524699	0.121242770818745	0.0509583568307979	0.0549665138211853	0.00377092500790444	0.0941759603469641	0.00794252058945722	0.00976510484171653	0.0119097976566446	0.0156294771939879	0.122728922984641	0.0128901574440659	0.032432042858344
"15"	"AFM beta-lactamase"	0.342980886433777	0.156272294281113	0.0646097618599897	0.08034970978381	0.047087980173482	0.163127153645006	0.205067201676047	0.0476391906265786	0.146526348693636	0.079319979163707	0.160206242519105	0.140538852386158	0.0580405742708841
"16"	"AIM beta-lactamase"	0.464740214296877	0.0940216683783432	0.0391596058513153	0.0938219153832537	0.0488770497812752	0.418124034586226	0.0562635268607005	0.0859621245669332	0.0698489368755031	0.0705889574317896	0.15675487381533	0.030975021502078	0.121891127881947
"17"	"ALG11 beta-lactamase"	0.93587722216597	0.440908154770365	0.284298105859444	1.39055206627728	1.56241677467464	0.672698226261515	1.12662481439996	0.56550014995817	1.46825031458122	1.17896481723943	0.46191876725429	1.46593531989937	1.1326344111592
"18"	"ALG6 beta-lactamases"	0.0179844115761596	0.0166401132943884	0.0122192624453188	0.0310707881327344	0.01848072050169	0.0397249212013858	0.0102602958122208	0.00920725531718995	0.0186183949742345	0.0060145672819569	0.0116704271376332	0.0271777903097589	0.0245902824989513
"19"	"ALI beta-lactamase"	0.332094175960347	0.156406559300081	0.0772331019299398	0.107598861587617	0.0612154523431191	0.22256949377279	0.0619955191357456	0.0294290759270159	0.0454099829787746	0.0726159910786068	0.18820619789508	0.045805428184321	0.0414801750869488
"20"	"ANA beta-lactamase"	0.138077665632102	0.0443868401896206	0.013552528367906	0.0273515850894788	0.00552477466811889	0.115397599975447	0.00960949418025009	0.00180437018458707	0.0149122124536425	0.0108711161239035	0.0212151456853697	0.00667163655244631	0.0237210125685962
"21"	"ANT(2'')"	0.0683557338920157	0.016016624434798	0.0227929875745656	0.0343325282947388	0.0178006936132339	0.0402397568797972	0.0120291345639138	0.0181539977696517	0.0339722378871986	0.0255546073028317	0.0319078269899606	0.0130996636572845	0.0262714142574354
"22"	"ANT(3'')"	2.13431787660628	1.73422074031624	1.68347776672823	3.07706472700488	6.48040263780615	1.91804550621606	2.84758422158251	2.14093043165125	3.11814425334741	1.08689661573984	1.7068507700478	2.51594613749114	3.80128899383911
"23"	"ANT(4')"	0.590012764073042	0.17284652175972	0.192124727618697	0.259456342866752	0.227049914893873	0.499883295728624	0.268380679308869	0.155256293424751	0.139524225292464	0.10833775889538	0.463110046677583	0.361308879143512	0.212322944430527
"24"	"ANT(6)"	0.998405707881486	0.68686124666237	0.827017092887773	0.593637790729146	0.789698902979849	1.30861060341489	0.602703002425277	0.499792599124565	0.749867233138609	0.765536792199223	1.26946362942315	0.585633498564664	1.56880877334653
"25"	"ANT(9)"	0.562256391369733	0.194592257150064	0.0778886463013418	0.31964003215851	0.221498991024535	0.315334210868905	0.0893419155718898	0.0892193308550186	0.202839756592292	0.24679083145429	0.192199493217576	0.267003568730626	0.152325930135278
"26"	"APH(2'')"	1.65523537254808	0.400269452614232	0.67429134572992	1.26444669416153	0.735779825360778	0.65527073791201	0.557266772880156	0.643344167746035	1.46654119986506	0.621773574212413	1.16309359451926	0.564316269672144	1.17300432741
"27"	"APH(2''); AAC(6')"	0.670022795209999	0.887600819523328	1.21960334015043	0.916590726088361	1.13359807160697	0.8415648787396	1.22437009702094	1.15317010812634	1.57209329067709	0.770402980020318	0.500386734226768	1.65485068900961	0.727919184153944
"28"	"APH(3'')"	0.867501750564071	0.209948430142887	0.120058438083115	0.0762887136214513	0.071517082669499	0.446614042376402	0.142925625410578	0.0381934890368259	0.142618979395139	0.0686650565894777	0.540772795629623	0.117716303708064	0.081497386670516
"29"	"APH(3')"	5.1114629125079	1.3881455551859	0.607989139735977	1.37723490883342	2.28683496664141	5.22433109031834	0.997958907091258	1.14941780197452	1.22728922984641	1.51183132308259	2.50747738765901	0.727461912752687	1.72981664462253
"30"	"APH(4)"	0.666348439481386	0.212332085060465	0.249247654452115	0.797917837679318	0.863767910090017	0.511710616557904	0.54442678892391	0.2276996416789	0.605223582849952	0.437832578587645	0.313358955389954	0.524520864130294	0.517057460643162
"31"	"APH(6)"	0.560707541559945	0.207470348734289	0.318311786700555	0.489142978889619	0.245177558655753	0.730026830602516	0.147590408991176	0.142405548905871	0.311707967471862	0.127508826377486	0.889545890712933	0.331569041779058	0.277243381115627
"32"	"APH(7'')"	0.364666312621703	0.380630025171681	0.5264279246489	0.511299933880089	0.936466175206439	0.35082319142555	0.773409446643955	0.47146580821852	0.303134191010628	0.634741564874608	0.604026389634391	0.50048457321395	0.286010158291829
"33"	"APH(9)"	0.739265377941787	0.556610975977842	0.45051889756342	0.735236656333846	0.882780066612997	0.95203019979744	0.430024864566191	0.202991645766045	1.25457091729557	0.341081268387474	0.568469471887521	0.224225002393087	0.260577093290848
"34"	"AQU beta-lactamase"	0.124283152530938	0.0258730087023659	0.0390736929849697	0.0394626762008492	0.0380566553110518	0.0960949418025009	0.017442245117675	0.0239892113384683	0.0407666854646383	0.0197686584795491	0.0519227366472996	0.0258452823508586	0.0751484640387106
"35"	"ARL Beta-lactamase"	0.190146079828499	0.183646357029357	0.075373711543622	0.228339931866311	0.229426673553471	0.142545244582379	0.310563033273685	0.165105076131785	0.188525499158627	0.100654690595603	0.147282704903523	0.216280945282143	0.260106883511177
"36"	"AST Beta-lactamase"	0.155643543723462	0.0666919227794352	0.0349875702053218	0.0606599320128287	0.0198480720304578	0.110869057807516	0.0312544588562227	0.0106075728426849	0.0266865462097853	0.0109753938750221	0.0690388328160512	0.0488255242085826	0.0213554992463973
"37"	"AXC beta-lactamase"	0.155088317469338	0.0662922382837676	0.0756747666694694	0.0390946873327198	0.0440882802977256	0.187526753137336	0.0318227185280546	0.0165340558038887	0.0223048327137546	0.0470441604144774	0.50068355733892	0.0279264220914426	0.0944280913803433
"38"	"BAT Beta-lactamase"	0.149771353159623	0.0618611187853599	0.0333808484148608	0.080396275837029	0.0774567023828128	0.0732886850949137	0.0272666885186936	0.0247831474597274	0.0592634228597962	0.0932123643982032	0.0759762953958365	0.0631691369923676	0.0414358100108917
