AMR.Gene.Family	AMR1A	AMR1H	AMR2A	AMR3A	AMR3H	AMR4A	AMR5A	AMR5H	AMR6A	AMR7A	AMR7H	AMR9H	AMR10A	total
OXA beta-lactamase	22.48595894	9.525411106	4.982768265	14.508286	25.50635621	15.44655471	4.59066609	4.042131351	14.22383245	13.41902953	10.93565834	10.22623668	6.791921201	156.6848109
nitroimidazole reductase	2.833420151	3.360648191	5.753084047	3.039461576	28.78251511	9.055639731	3.561733663	2.160159887	6.152947424	5.040445759	7.737513982	3.987318119	4.355414311	85.82030195
tetracycline inactivation enzyme	7.572281414	1.664531495	4.170232631	5.088361791	7.667346516	3.529585807	1.883873252	2.460959456	7.699341299	1.942529066	6.613873766	2.177550473	3.832059663	56.30252663
chloramphenicol acetyltransferase (CAT)	3.774827403	3.632175762	4.839941054	2.457935827	9.076167652	3.323151963	5.621950097	1.883460859	3.56994641	5.653025234	6.244097324	2.394418488	1.399303249	53.87040132
streptogramin vgb lyase	2.130862701	2.219861922	2.900241941	9.076221082	3.976229687	4.617859283	2.92378968	3.976306663	5.234171361	2.493639595	4.069737286	5.341794685	3.428174678	52.38889056
ANT(3)	2.134317877	1.73422074	1.683477767	3.077064727	6.480402638	1.918045506	2.847584222	2.140930432	3.118144253	1.086896616	1.70685077	2.515946137	3.801288994	34.24517068
macrolide phosphotransferase (MPH)	3.445627667	2.553465837	1.421445597	2.915017033	4.846188034	2.180581368	2.297129075	1.943212007	3.02315826	0.969127727	2.507346433	2.321659865	3.604211423	34.02817033
ADC beta-lactamases pending classification for carbapenemase activity	3.81496919	0.940076866	2.183666589	3.334035426	4.208795607	1.685603479	1.234554788	1.840831887	4.892317526	1.347860549	3.051655422	1.415131569	2.328821778	32.27832067
CfiA beta-lactamase	2.028060894	1.762479702	1.98940207	1.573636013	3.468224465	2.869082822	3.903378726	1.462441016	4.635442444	1.485375132	2.187030046	2.629397845	1.267269326	31.2612205
MOX beta-lactamase	1.514972139	1.559095234	2.068443622	1.180659557	5.922741772	3.256578724	1.68419327	0.610019638	2.256328554	1.758351866	2.910001243	1.594680838	1.23407747	27.55014393
other	48.26470163	71.04803315	68.00729642	53.74932096	0.065032318	52.11731661	69.45114714	77.4795468	45.19437002	64.80371893	52.03623538	65.3958653	67.95745791	
