""	"AMR.Gene.Family"	"AMR1A"	"AMR1H"	"AMR2A"	"AMR3A"	"AMR3H"	"AMR4A"	"AMR5A"	"AMR5H"	"AMR6A"	"AMR7A"	"AMR7H"	"AMR9H"	"AMR10A"	"total"
"141"	"OXA beta-lactamase"	22.48595894	9.525411106	4.982768265	14.508286	25.50635621	15.44655471	4.59066609	4.042131351	14.22383245	13.41902953	10.93565834	10.22623668	6.791921201	156.684810873
"7"	"ADC beta-lactamases pending classification for carbapenemase activity"	3.81496919	0.940076866	2.183666589	3.334035426	4.208795607	1.685603479	1.234554788	1.840831887	4.892317526	1.347860549	3.051655422	1.415131569	2.328821778	32.278320676
"45"	"CfiA beta-lactamase"	2.028060894	1.762479702	1.98940207	1.573636013	3.468224465	2.869082822	3.903378726	1.462441016	4.635442444	1.485375132	2.187030046	2.629397845	1.267269326	31.261220501
"127"	"MOX beta-lactamase"	1.514972139	1.559095234	2.068443622	1.180659557	5.922741772	3.256578724	1.68419327	0.610019638	2.256328554	1.758351866	2.910001243	1.594680838	1.23407747	27.550143927
"175"	"SHV beta-lactamase"	1.372278279	1.39910555	2.897572928	1.306381598	6.90432155	1.879607267	2.021913268	1.481063291	1.577019541	1.803080993	2.304676618	1.629708919	0.909082998	27.4858128
"147"	"PER beta-lactamase"	0.704582834	0.599044079	2.130428407	2.538927259	4.907247317	2.839355024	1.038263011	1.279194672	3.061825083	0.706410927	1.800487565	1.72375135	1.293159562	24.62267709
"183"	"SPR beta-lactamase"	0.587623223	1.056822013	1.142826083	1.238193048	2.054283916	1.191361303	1.60255627	1.72487261	2.47066699	1.527130167	0.928556771	2.274192063	1.231216442	19.030300899
"195"	"subclass B3 PEDO beta-lactamase"	0.721235	0.413808843	0.626417182	0.294354107	6.837252597	0.418516965	0.737070803	0.090989556	2.428578411	3.144363759	1.263259917	0.217510224	0.486969424	17.680326788
"99"	"GOB beta-lactamase"	1.034920348	1.117507619	0.486180171	1.723598195	1.482865071	0.674232992	1.790762209	1.239986683	1.329321742	0.648599101	0.908833422	1.417434444	2.134119276	15.988361273
"212"	"YRC Beta-lactamase"	1.290857195	0.754945887	0.442672152	1.956741617	2.53908506	0.896822068	0.736780732	0.620640821	1.323957086	1.85803313	0.811508971	1.370835396	0.813325756	15.416205871
