AMR.Gene.Family	AMR1A	AMR1H	AMR2A	AMR3A	AMR3H	AMR4A	AMR5A	AMR5H	AMR6A	AMR7A	AMR7H	AMR9H	AMR10A
AAK beta-lactamase	0.272489553	0.165119046	0.036140076	0.068378963	0.000394627	0.179848387	0.027627296	0	0.013615498	0.023101122	0.091128694	0.006671637	0.016286068
ACC beta-lactamase	2.353390267	0.970032485	0.599781187	0.586415368	1.550501795	1.327311384	0.384631578	0.554345289	2.500356708	0.577148395	1.714320523	0.822092406	0.762481977
ACI beta-lactamase	0.079261757	0.136106697	0.060377895	0.144860817	0.210207685	0.09382725	0.179594907	0.091725042	0.121504925	0.07280786	0.057709329	0.113028178	0.321360723
ACT beta-lactamase	3.373362161	0.694543101	0.998066476	1.045633085	0.512441132	2.144765165	0.766413687	0.299905014	0.37680243	0.447158789	2.04672646	1.218862632	0.681322562
ADC beta-lactamase with carbapenemase activity	0.004735521	0.009207255	0.004804747	0.011126949	0.008428642	0.010871116	0.011571898	0.005221281	0.007788989	0.010997336	0.006214158	0.009856384	0.004558598
ADC beta-lactamase without carbapenemase activity	1.570757757	0.721312657	0.441469238	0.995876449	2.472499473	1.051114036	0.370130793	0.328553726	1.006867225	0.9720718	0.669412765	0.742400167	0.526826727
ADC beta-lactamases pending classification for carbapenemase activity	3.81496919	0.940076866	2.183666589	3.334035426	4.208795607	1.685603479	1.234554788	1.840831887	4.892317526	1.347860549	3.051655422	1.415131569	2.328821778
AER beta-lactamase	0.223441175	0.121242771	0.050958357	0.054966514	0.003770925	0.09417596	0.007942521	0.009765105	0.011909798	0.015629477	0.122728923	0.012890157	0.032432043
AFM beta-lactamase	0.342980886	0.156272294	0.064609762	0.08034971	0.04708798	0.163127154	0.205067202	0.047639191	0.146526349	0.079319979	0.160206243	0.140538852	0.058040574
AIM beta-lactamase	0.464740214	0.094021668	0.039159606	0.093821915	0.04887705	0.418124035	0.056263527	0.085962125	0.069848937	0.070588957	0.156754874	0.030975022	0.121891128
ALG11 beta-lactamase	0.935877222	0.440908155	0.284298106	1.390552066	1.562416775	0.672698226	1.126624814	0.56550015	1.468250315	1.178964817	0.461918767	1.46593532	1.132634411
ALG6 beta-lactamases	0.017984412	0.016640113	0.012219262	0.031070788	0.018480721	0.039724921	0.010260296	0.009207255	0.018618395	0.006014567	0.011670427	0.02717779	0.024590282
ALI beta-lactamase	0.332094176	0.156406559	0.077233102	0.107598862	0.061215452	0.222569494	0.061995519	0.029429076	0.045409983	0.072615991	0.188206198	0.045805428	0.041480175
ANA beta-lactamase	0.138077666	0.04438684	0.013552528	0.027351585	0.005524775	0.1153976	0.009609494	0.00180437	0.014912212	0.010871116	0.021215146	0.006671637	0.023721013
AQU beta-lactamase	0.124283153	0.025873009	0.039073693	0.039462676	0.038056655	0.096094942	0.017442245	0.023989211	0.040766685	0.019768658	0.051922737	0.025845282	0.075148464
ARL Beta-lactamase	0.19014608	0.183646357	0.075373712	0.228339932	0.229426674	0.142545245	0.310563033	0.165105076	0.188525499	0.100654691	0.147282705	0.216280945	0.260106884
AST Beta-lactamase	0.155643544	0.066691923	0.03498757	0.060659932	0.019848072	0.110869058	0.031254459	0.010607573	0.026686546	0.010975394	0.069038833	0.048825524	0.021355499
AXC beta-lactamase	0.155088317	0.066292238	0.075674767	0.039094687	0.04408828	0.187526753	0.031822719	0.016534056	0.022304833	0.04704416	0.500683557	0.027926422	0.094428091
BAT Beta-lactamase	0.149771353	0.061861119	0.033380848	0.080396276	0.077456702	0.073288685	0.027266689	0.024783147	0.059263423	0.093212364	0.075976295	0.063169137	0.04143581
BCL Beta-lactamase	0.203601158	0.058642031	0.227573329	0.369617948	0.27097527	0.110227039	0.141617985	0.158239449	0.374624931	0.145792351	0.220766365	0.10852236	2.797164165
BEL beta-lactamase	0.091120694	0.06613242	0.108711161	0.139827097	0.109936968	0.125685962	0.158850412	0.153578467	0.156059418	0.115918623	0.102208331	0.146702268	0.144743006
BES Beta-lactamase	1.309681268	0.929480429	0.685634936	0.647438817	0.937157019	1.149221633	1.68314898	0.577419845	1.578577197	0.657842812	0.840315502	1.05524258	0.512741861
BIC Beta-lactamase	0.012230006	0.000964325	0.007251779	0.008497079	0.051320902	0.032846262	0.009035019	0.009117195	0.01223343	0.011048706	0.030630263	0.004210197	0.007131928
BIL Beta-lactamase	0	0	0.003186405	0	0	0.009035019	0.000651228	0	0	0	0.000902185	0	0.00135889
BJP beta-lactamase	0.116608604	0.037528766	0.026271414	0.08611047	0.004928192	0.225976191	0.011838803	0.003682902	0.028227889	0.007518209	0.112814129	0.031254459	0.033269206
BKC Beta-lactamase	0.136661356	0.08797869	0.056815155	0.020123451	0.02930527	0.078925352	0.02271123	0.009008901	0.012329863	0.01556057	0.102596158	0.020250821	0.027846831
BPU Beta-lactamase	0.144187297	0.143813362	0.036961441	0.117872307	0.050117599	0.069361323	0.084083074	0.028869923	0.096605202	0.093083932	0.094985993	0.029297187	0.045317755
BRO Beta-lactamase	0.205954938	0.043121681	0.072286332	0.06708655	0.049719179	0.11171037	0.027065553	0.041494852	0.063188362	0.0602703	0.072517789	0.046025845	0.060485349
BSU beta-lactamase	0.177414917	0.207741801	0.090369528	0.390387625	0.299095506	0.104954199	0.280090251	0.170540634	0.214080106	0.124730596	0.180562931	0.283486889	0.269871988
BUT beta-lactamase	0.503399411	0.14995817	0.157137157	0.266663464	0.088113411	0.326123603	0.248676781	0.095468156	0.115738391	0.103735174	0.171680637	0.245903095	0.145792351
