""	"Drug.Class"	"AMR1A"	"AMR1H"	"AMR2A"	"AMR3A"	"AMR3H"	"AMR4A"	"AMR5A"	"AMR5H"	"AMR6A"	"AMR7A"	"AMR7H"	"AMR9H"	"AMR10A"
"1"	"aminocoumarin antibiotic"	7567	2762	2285	3613	4492	5911	2779	1858	3164	2299	5261	2140	3087
"2"	"aminoglycoside antibiotic"	58484	24160	23183	33731	40850	47384	24483	17783	35230	21237	42555	25767	27416
"3"	"aminoglycoside antibiotic; aminocoumarin antibiotic"	4459	2253	1304	2651	2414	3265	1920	1463	2393	1807	2784	2142	2209
"4"	"aminoglycoside antibiotic; cephalosporin; cephamycin; penam"	3366	1157	776	1314	717	2315	694	480	824	721	1906	835	1123
"5"	"aminoglycoside antibiotic; tetracycline antibiotic; phenicol antibiotic"	23	15	7	24	44	63	27	18	17	23	50	15	40
"6"	"antibacterial free fatty acids"	1930	531	227	352	11	1109	60	33	103	95	1279	124	366
"7"	"bicyclomycin-like antibiotic"	1277	385	164	445	136	924	218	110	237	172	505	239	323
"8"	"carbapenem"	38099	18399	16974	24293	40967	33131	20629	13118	34566	20092	30662	21727	19106
"9"	"carbapenem; cephalosporin"	6254	2225	1451	2236	2119	4182	1344	874	1746	1280	4408	1515	2005
"10"	"carbapenem; cephalosporin; cephamycin"	285	153	56	198	122	201	198	131	187	151	156	155	171
"11"	"carbapenem; cephalosporin; cephamycin; penam"	8445	3031	2670	3223	4136	6115	2324	1425	3086	2336	5598	2735	3561
"12"	"carbapenem; cephalosporin; cephamycin; penam; penem"	4640	1518	1290	1740	2840	3328	1491	840	1787	1253	3154	1268	1545
"13"	"carbapenem; cephalosporin; penam"	46856	21246	21935	29975	51503	41774	22863	16300	32430	21026	35565	22303	24064
"14"	"carbapenem; cephalosporin; penam; tetracycline antibiotic"	671	368	255	565	274	533	331	254	371	297	416	273	382
"15"	"carbapenem; penam"	1165	462	279	591	394	897	232	318	298	271	1024	325	370
"16"	"carbapenem; peptide antibiotic; aminocoumarin antibiotic; rifamycin antibiotic"	1074	451	292	563	527	789	445	216	602	429	621	413	468
"17"	"cephalosporin"	25150	11113	11593	15199	27281	21110	11606	8143	18201	10630	17476	11628	11450
"18"	"cephalosporin; cephamycin"	2921	1316	889	1613	1379	1965	1259	777	1395	1289	1902	1204	1036
"19"	"cephalosporin; cephamycin; penam"	7000	3588	4080	5045	9845	6837	4168	2669	7194	3516	5218	4447	2973
"20"	"cephalosporin; cephamycin; penam; penem"	296	97	56	78	23	189	20	26	53	18	206	34	84
"21"	"cephalosporin; penam"	13873	5937	4712	8019	8974	10287	6208	3979	7000	5374	10485	5784	6237
"22"	"cephalosporin; penam; penem"	955	536	466	636	899	827	614	340	679	560	948	511	717
"23"	"cephalosporin; penam; peptide antibiotic"	2226	866	929	1537	2411	2035	1259	909	1786	914	1436	1092	803
"24"	"cephalosporin; penem"	2203	1550	1207	2553	1837	1938	2367	1224	2535	1892	1615	1736	1626
"25"	"cephamycin"	4681	1984	1311	2267	2365	3410	1385	1020	1903	1270	3350	1264	1748
